"seed","gapSize","method","sizeLeft","extremeLeft","tend_dif_point_gap","sizeRight","extremeRight","valueRMSE","valueMSE","valueSMAPE","valueMAE","valueDTW","timeExec_sys","timeExec_elap"
1,15,"ssa",1333,876,"1",1,0,0.00340003454695179,1.15602349204657e-05,NA,0.000300568663492279,0.000113532039123769,0.0549999999999997,0.304999999999836
1,15,"SMA",1333,876,"1",1,0,0.00185396489872449,3.4371858457025e-06,NA,0.000144525792917226,7.39428579657572e-05,0,0.000999999999976353
1,15,"seadec",1333,876,"1",1,0,0.00188621156015748,3.5577940496717e-06,NA,0.00016154185766301,6.86626763984424e-05,0,0.0110000000001946
1,15,"stine",1333,876,"1",1,0,0.0017745891965751,3.14916681660105e-06,NA,0.000139875382500735,7.01840645221334e-05,0,0.000999999999976353
1,15,"locf",1333,876,"1",1,0,0.00183773521916229,3.37727073574949e-06,NA,0.000139335698824738,6.9667849412369e-05,1e-14,0.000999999999986353
1,15,"seasplit",1333,876,"1",1,0,0.00259702504205867,6.74453906907982e-06,NA,0.000215333075210386,5.03436960671597e-05,0,0.00599999999985812
1,15,"SMA2",1333,876,"1",1,0,0.00197398233124125,3.89660624405264e-06,NA,0.000147895178950396,7.30180988055909e-05,0,0.000999999999976353
1,30,"ssa",1318,864,"-1",1,0,0.00567724012383693,3.2231055423704e-05,NA,0.000670178027136815,0.000244163945726901,0.00199999999999889,0.194999999999936
1,30,"SMA",1318,864,"-1",1,0,0.00300454361201975,9.02728231652868e-06,NA,0.000413946373764624,0.000165742572689907,0,0.000999999999976353
1,30,"seadec",1318,864,"-1",1,0,0.00331070609575054,1.09607748524398e-05,NA,0.000437434363440123,0.000180063216420507,0,0.012000000000171
1,30,"stine",1318,864,"-1",1,0,0.00431208706367137,1.8594094844682e-05,NA,0.000578203712129884,0.00016565129212992,0,0.000999999999976353
1,30,"locf",1318,864,"-1",1,0,0.00490642220640601,2.4072978867514e-05,NA,0.000664560343657659,0.000137063801396133,1e-14,1e-14
1,30,"seasplit",1318,864,"-1",1,0,0.00321480936241677,1.03349992366825e-05,NA,0.000368165734534517,0.000163133767415303,0,0.00400000000013279
1,30,"SMA2",1318,864,"-1",1,0,0.00270581253985641,7.32142150084417e-06,NA,0.000360949744340558,0.000161269160143637,0,0
1,45,"ssa",1303,857,"1",1,0,0.00618423654435657,3.82447816365553e-05,NA,0.000885994695618201,0.000344061065200135,0.00100000000000122,0.192000000000007
1,45,"SMA",1303,857,"1",1,0,0.00324506818147197,1.05304675024018e-05,NA,0.00045726033405012,0.000204798547080146,0,0.00300000000015643
1,45,"seadec",1303,857,"1",1,0,0.00345803549369206,1.19580094756341e-05,NA,0.000434909236616474,0.000211444902870746,0,0.00900000000001455
1,45,"stine",1303,857,"1",1,0,0.00384822133973602,1.48088074795997e-05,NA,0.000491180227887512,0.000212877262894713,0,0.000999999999976353
1,45,"locf",1303,857,"1",1,0,0.0038705707858833,1.49813182085333e-05,NA,0.000480717402020125,0.000204701756922787,1e-14,1e-14
1,45,"seasplit",1303,857,"1",1,0,0.0134792181981393,0.000181689323233049,NA,0.00129255535850774,0.000476784869830423,0,0.00599999999985812
1,45,"SMA2",1303,857,"1",1,0,0.00484762063367555,2.3499425808037e-05,NA,0.00080555519981311,0.000252601628630726,0,0
1,60,"ssa",1288,846,"-1",1,0,0.00940173645528858,8.83926483747023e-05,NA,0.00121770650863742,0.000482269881483371,0.00199999999999889,0.180000000000064
1,60,"SMA",1288,846,"-1",1,0,0.00819931064833745,6.72286951079399e-05,NA,0.000993390108317905,0.000401491841937064,0,0.00400000000013279
1,60,"seadec",1288,846,"-1",1,0,0.00801591824945605,6.42549453819626e-05,NA,0.00093147891502859,0.000434203095248561,0,0.00900000000001455
1,60,"stine",1288,846,"-1",1,0,0.00973582718747761,9.47863310244283e-05,NA,0.00153478255297989,0.000434659074456127,0,0.000999999999976353
1,60,"locf",1288,846,"-1",1,0,0.0091765588551769,8.42092324225256e-05,NA,0.00135919188231297,0.000363805246017331,1e-14,1e-14
1,60,"seasplit",1288,846,"-1",1,0,0.0109666496545535,0.000120267404645719,NA,0.00139947627209018,0.00057641209546588,0,0.00399999999990541
1,60,"SMA2",1288,846,"-1",1,0,0.00849495673782465,7.21642899775125e-05,NA,0.00102969282357115,0.000435473183243345,0,0.000999999999976353
1,75,"ssa",1273,838,"-1",1,0,0.010562129775458,0.000111558585393617,NA,0.00148469021451542,0.00063828516887386,0.00199999999999889,0.173999999999978
