"gapSize","method","rmse","sdRmse","error"
1,"ssa",0.0010681474314324,0.000643777359116152,0.000193348574243463
1,"stine",0.000843469117933657,0.000674358172421257,0.000202533048608739
1,"locf",0.000967590032091083,0.000807077714583867,0.000242393310682286
1,"spline",0.00136284948192299,0.000985143402952309,0.000295872586522286
1,"Seasplit",0.00081738179566179,0.000722250115772746,0.000216916653178915
1,"moving Average",0.000762355923805162,0.000620819054455726,0.000186453402472845
16,"ssa",0.00373477094677211,0.00087360454987244,0.000262373616870182
16,"stine",0.00411502305421222,0.0015489475678406,0.000465202448608985
16,"locf",0.00411670737325758,0.00208693898225394,0.000626779850266684
16,"spline",0.108604328841789,0.0991802688354531,0.0297872599911647
16,"Seasplit",0.00407925853273344,0.0014029486479371,0.00042135393078726
16,"moving Average",0.00314056524162071,0.00103419752822922,0.000310605234461432
31,"ssa",0.00587865650729971,0.00107020732704497,0.000321420220669363
31,"stine",0.00549585407556533,0.0022170986405241,0.000665871290799951
31,"locf",0.00559329025161927,0.00288657250344952,0.000866937412584049
31,"spline",0.446314703220966,0.432194875029445,0.129803047123311
31,"Seasplit",0.00583692047624707,0.0023457598867204,0.000704512706438728
31,"moving Average",0.00454941972547431,0.00146494882554011,0.000439974725340894
46,"ssa",0.00819206503037048,0.00126528175211179,0.000380007807548489
46,"stine",0.00723556067574097,0.00275756536446487,0.000828192113395279
46,"locf",0.00708494718737986,0.00351555325831747,0.00105584205556071
46,"spline",1.14609608278962,1.00910400036507,0.303068781421309
46,"Seasplit",0.00761870892132693,0.00301779471495828,0.000906347974550883
46,"moving Average",0.00582390559059041,0.00170872234787308,0.000513188332986397
61,"ssa",0.0113246020885799,0.00139545227566416,0.000419102511301243
61,"stine",0.00925575372056097,0.00264229504899823,0.000793572456719768
61,"locf",0.00812947525180766,0.00235015818547059,0.000705833667451729
61,"spline",1.67930428508325,1.4613303654372,0.438887976805944
61,"Seasplit",0.00853100721837723,0.00274837027395956,0.000825430510157661
61,"moving Average",0.0109840421182387,0.00122788724613578,0.000368776945958502
76,"ssa",0.0169469678960821,0.00230081910341019,0.000691015437149322
76,"stine",0.0105916635765367,0.00298242496941647,0.000895725218445803
76,"locf",0.00944236660247658,0.00300315543994015,0.000901951294685348
76,"spline",4.26552299606547,6.675446910365,2.00486724840557
76,"Seasplit",0.0122774647769377,0.00436355959896495,0.0013105276461486
76,"moving Average",0.0230021685605253,0.00144980955861409,0.000435427880637851
91,"ssa",0.0277063061119344,0.00427342546809383,0.00128345725380281
91,"stine",0.0306064531694632,0.0211085272311053,0.00633961972523665
91,"locf",0.0395306643344758,0.00656045257534832,0.00197033047819036
91,"spline",5.25170155950668,4.58308838484765,1.37645972212917
91,"Seasplit",0.0314480260445498,0.0093125703949819,0.00279688650573803
91,"moving Average",0.0384682323212214,0.0017836869125405,0.000535702780709639
106,"ssa",0.0262973930382401,0.00851415976006155,0.00255709621840235
106,"stine",0.0422289672509562,0.0224660022373399,0.00674731635095668
106,"locf",0.0415692020787097,0.00936454669069115,0.00281249678237721
106,"spline",10.4264825252358,17.3994454181268,5.2256543610674
106,"Seasplit",0.0305571097185226,0.0100562143683403,0.00302022847320174
106,"moving Average",0.0382027314031465,0.00208014907141259,0.000624740605546713
121,"ssa",0.0186614319201707,0.00658921883141153,0.00197896997834889
121,"stine",0.0405234389668011,0.0275419010815324,0.00827178407358062
121,"locf",0.0441367179902866,0.0170818972921374,0.00513028369208639
121,"spline",15.1676416970296,12.7056864671029,3.81595644583016
121,"Seasplit",0.0313487979498586,0.0118959696114264,0.0035727705099332
121,"moving Average",0.038070002908792,0.00202184786312829,0.000607230739225976
136,"ssa",0.0262322565364326,0.00247501530456556,0.000743332572343791
136,"stine",0.0467259831667885,0.0276647347560731,0.00830867526819196
136,"locf",0.0423719323176575,0.00705269019148754,0.00211816643408695
136,"spline",13.5890317613538,13.0182192177772,3.90982082439455
136,"Seasplit",0.0300533229107103,0.0110186370599077,0.0033092772454195
136,"moving Average",0.0376261862599995,0.00180500768084542,0.000542106143759236
151,"ssa",0.0304214198161403,0.00257862666414176,0.000774450641915215
151,"stine",0.0479846467644117,0.0264245993524253,0.00793621977753393
151,"locf",0.0393215464953323,0.00689729804908095,0.00207149680714604
151,"spline",16.6936624614709,17.0305097842786,5.11485024877289
151,"Seasplit",0.0296801081728306,0.0108902190202051,0.00327070887309007
151,"moving Average",0.0366100092444488,0.00194534746749091,0.000584255028421459
166,"ssa",0.0321299785352729,0.00261063863225658,0.000784064941495781
166,"stine",0.0428024596392469,0.0211817516117368,0.00636161153559545
166,"locf",0.0391864264189505,0.00996109858440913,0.00299166191839716
166,"spline",22.1300621800136,20.4011073602528,6.12715710678017
166,"Seasplit",0.0313553128428262,0.0111295091194797,0.00334257595395302
166,"moving Average",0.0339459981252832,0.00184164805326764,0.000553110512998488
181,"ssa",0.0345318656912118,0.00275900909589045,0.000828625715802654
181,"stine",0.0551078919327097,0.0218481750469424,0.00656176150858663
181,"locf",0.0441242904731083,0.00495004993052439,0.00148667094756926
181,"spline",29.0759038563068,26.4135224295339,7.93289299504038
181,"Seasplit",0.0434127289631911,0.00386757906183244,0.00116156756181333
181,"moving Average",0.030144751133952,0.00186793030373716,0.000561003980490369
196,"ssa",0.0352811443936588,0.00282218632281238,0.000847600018916983
196,"stine",0.060052440560118,0.0270977355811358,0.00813838583424564
196,"locf",0.042106228655104,0.00607356568693645,0.00182410153062141
196,"spline",38.5623002474185,56.0078210872328,16.821082941728
196,"Seasplit",0.0427376978330763,0.00389033658582648,0.00116840243221573
196,"moving Average",0.0275293737924378,0.00180484119108455,0.000542056141134204
211,"ssa",0.0360837277864267,0.0028760573764222,0.000863779356790486
211,"stine",0.048006109972702,0.0210364780569759,0.00631798086997702
211,"locf",0.0425061284451438,0.00389520231809466,0.00116986377965733
211,"spline",28.8437931231438,21.8933158537929,6.57531885185314
211,"Seasplit",0.0432574470361676,0.00321452909849256,0.000965434104285614
211,"moving Average",0.0260437562403769,0.00179478471591245,0.000539035834332629
226,"ssa",0.0370645437046634,0.00292399057407201,0.000878175351451193
226,"stine",0.0710141074437207,0.0356965541851661,0.0107209080272441
226,"locf",0.0431650029790156,0.00503990050074868,0.00151365617685983
226,"spline",44.0190455414115,41.3453591499672,12.4174392436
226,"Seasplit",0.0435163646581835,0.00403226809371091,0.00121102936573721
226,"moving Average",0.0263732300425605,0.00175370488604437,0.000526698142702617
241,"ssa",0.0377737581464242,0.00337265588706344,0.00101292503991257
241,"stine",0.0718828901398261,0.0399094233757228,0.0119861781395492
241,"locf",0.0436014140415277,0.00632933472303349,0.00190091780532371
241,"spline",50.6177532815127,42.591313000429,12.7916422147804
241,"Seasplit",0.0437708423306482,0.00464447207012903,0.00139489536274763
241,"moving Average",0.029781149127587,0.00178354201535797,0.0005356592630816
256,"ssa",0.0383345231193465,0.00313986892070661,0.000943011074455091
256,"stine",0.0654533098291684,0.0361031466225796,0.0108430217781533
256,"locf",0.0433451882332255,0.00539305169198484,0.00161971967591117
256,"spline",103.497582451568,159.157853288836,47.8005999702989
256,"Seasplit",0.0442674009474968,0.003837909469812,0.0011526567586695
256,"moving Average",0.0371416336754695,0.00220718278359493,0.000662893216513073
271,"ssa",0.0378775166445223,0.00320930752965572,0.000963865886833383
271,"stine",0.10604846785164,0.0629683422648515,0.0189115678378289
271,"locf",0.0559192372146339,0.00963850329530288,0.00289477541202485
271,"spline",87.3433821349108,91.6213144223686,27.5170449271436
271,"Seasplit",0.0507069638596694,0.00971613611796504,0.00291809122977407
271,"moving Average",0.0486327297563807,0.00252012730130713,0.000756881262939609
286,"ssa",0.0387900681514013,0.00323776036780059,0.000972411256766932
286,"stine",0.0830451144962986,0.0556660429938352,0.0167184351767355
286,"locf",0.0562563224632647,0.00984666527317112,0.00295729364299803
286,"spline",123.747063368583,128.75973539717,38.6709953471922
286,"Seasplit",0.0495937551805845,0.00892620296533943,0.00268084702314727
286,"moving Average",0.0496689551870362,0.0024935928800292,0.00074891205984507
301,"ssa",0.0390013970936025,0.00337582698045322,0.00101387742877345
301,"stine",0.0900171280625826,0.0654795877324376,0.0196657815793617
301,"locf",0.061106625059297,0.0153855594350752,0.00462081484939755
301,"spline",160.956653175421,171.622540794603,51.5441761049726
301,"Seasplit",0.051403425569773,0.0105201443386667,0.00315956266543641
301,"moving Average",0.0503845380297439,0.0025973180915999,0.000780064323102402
316,"ssa",0.0399462217476909,0.00351816468985393,0.00105662635863872
316,"stine",0.105442915976821,0.0814386873417808,0.0244588503507026
316,"locf",0.0590326368664171,0.0131025771356592,0.00393515642049418
316,"spline",105.32033967311,84.4122417163255,25.3519114231562
316,"Seasplit",0.0500884871174447,0.00957942996903599,0.00287703365200831
316,"moving Average",0.0500727537538056,0.00253445262754214,0.000761183653143132
331,"ssa",0.0406339573531013,0.00358252863211585,0.00107595707335369
331,"stine",0.123785773803791,0.0854127779052006,0.0256524069948917
331,"locf",0.0564730963475733,0.00633185830805765,0.00190167572506024
331,"spline",96.5259057000976,89.5386735735037,26.8915559547727
331,"Seasplit",0.0491607350295379,0.00929675463693392,0.00279213648738797
331,"moving Average",0.048850205609958,0.00247820947903626,0.000744291893250389
346,"ssa",0.0413896685691706,0.00350997696551436,0.00105416730225077
346,"stine",0.114325919557362,0.0879382547021559,0.026410894896123
346,"locf",0.0567380660439846,0.00776968764789825,0.00233350553225518
346,"spline",137.719387425052,124.549805719441,37.4066080721074
346,"Seasplit",0.0505990271573515,0.0108121081021427,0.00324724946678083
346,"moving Average",0.0461935210178258,0.00246916686424654,0.000741576083736016
361,"ssa",0.0466126782579161,0.00379351530899703,0.0011393236589934
361,"stine",0.136757370569225,0.0681647580974664,0.0204722309742145
361,"locf",0.0634443484769763,0.00644881462992069,0.001936801747684
361,"spline",175.331254452998,148.257447943586,44.5268317920061
361,"Seasplit",0.0617377387454936,0.00536450544775595,0.00161114625290475
361,"moving Average",0.0425466935940563,0.00247092383106991,0.000742103761551151
376,"ssa",0.0464715862612648,0.00374897551280657,0.00112594681998443
376,"stine",0.142592060300541,0.0802075709709436,0.0240891035870762
376,"locf",0.05985004253386,0.00753008878721781,0.00226154571967879
376,"spline",236.434917475361,386.679329631068,116.133156929018
376,"Seasplit",0.0606058380679044,0.00502848145642009,0.00151022664348328
376,"moving Average",0.0399443683333712,0.00241338822310557,0.000724823831447041
391,"ssa",0.0467122793231191,0.00402823716401622,0.00120981873833892
391,"stine",0.148164509037238,0.0946074420011345,0.0284138821670492
391,"locf",0.0593806995682435,0.00823524012033055,0.0024733270179065
391,"spline",233.808502869505,281.87783835531,84.6576497061858
391,"Seasplit",0.0604526184094171,0.00539572112554209,0.00162052139899917
391,"moving Average",0.0385314252388827,0.00238187537177848,0.000715359433875177
406,"ssa",0.0480503456889059,0.00409168233292176,0.00122887351368449
406,"stine",0.17750320170153,0.118648874170933,0.0356343545352968
406,"locf",0.0608999145132518,0.00879594874838166,0.00264172718337447
406,"spline",222.913691786815,236.708570398479,71.0917585865223
406,"Seasplit",0.0613303654502068,0.00608287736926714,0.00182689815041077
406,"moving Average",0.0387861150557926,0.00243806288437197,0.000732234484382006
421,"ssa",0.0487871132985279,0.0045455331789068,0.00136518059678986
421,"stine",0.165809014388168,0.1092227854863,0.0328033745667428
421,"locf",0.0613347442947475,0.00756457928394081,0.00227190440699811
421,"spline",243.725904126728,220.78037366546,66.3079710161938
421,"Seasplit",0.0612954646052848,0.00591017892215197,0.00177503084248055
421,"moving Average",0.0428077892708554,0.00251236561355907,0.000754550160053557
436,"ssa",0.0490288411385513,0.00389248945049071,0.00116904901182508
436,"stine",0.171101712144043,0.113360892422034,0.0340461909919581
436,"locf",0.0603085452653274,0.00827029484711265,0.00248385516299865
436,"spline",391.514642450748,386.846891609273,116.183481577943
436,"Seasplit",0.0613378082121342,0.00554602044358166,0.00166566147489841
436,"moving Average",0.0522037542306998,0.00280848745623547,0.000843485776184008
451,"ssa",0.0474989755612465,0.00388515416407925,0.00116684597198648
451,"stine",0.177235877118681,0.148743646099923,0.0446728538895471
451,"locf",0.0691938007562333,0.010641011521563,0.00319586325469278
451,"spline",264.752508846141,201.789954861011,60.6044924018366
451,"Seasplit",0.0634215039122292,0.0100855202104186,0.00302903002967558
451,"moving Average",0.0668685262577195,0.00325416598596315,0.000977338430480633
466,"ssa",0.0478103977608039,0.00398093501260662,0.00119561226865777
466,"stine",0.154184306423359,0.138474272887378,0.041588606453841
466,"locf",0.0679462199960668,0.00904303156148357,0.00271593468532655
466,"spline",328.023685748474,349.247117511771,104.890970881995
466,"Seasplit",0.064099500193422,0.0117718725935067,0.00353549988967469
466,"moving Average",0.0717383669894393,0.00344963805239545,0.00103604544279464
481,"ssa",0.0478368497050702,0.00395632934426028,0.00118822233667942
481,"stine",0.223469883045245,0.177540711991843,0.0533216073036809
481,"locf",0.0727932351717287,0.0136189359132314,0.00409023679421024
481,"spline",348.747834917582,285.806497003157,85.8375615771054
481,"Seasplit",0.0640945632650615,0.0103365395254541,0.00310441979910818
481,"moving Average",0.0761515936199238,0.00371403537446061,0.00111545308975705
496,"ssa",0.0485355866707629,0.00419084438597511,0.0012586553028472
496,"stine",0.197942060299244,0.177538738498417,0.053321014595449
496,"locf",0.0722465297824685,0.0193467037511419,0.00581048328839886
496,"spline",428.69077928728,365.604585407628,109.803683407703
496,"Seasplit",0.0646819542870304,0.011446892224672,0.00343789706148954
496,"moving Average",0.0805142207022927,0.00379067597644586,0.00113847090936995
511,"ssa",0.0493245525696557,0.00442545906848024,0.00132911819458546
511,"stine",0.200592664417866,0.17651191527621,0.0530126241197628
511,"locf",0.0734944616441846,0.0181706380877414,0.00545727015343032
511,"spline",424.377570364101,317.636922842903,95.3973377427762
511,"Seasplit",0.0648050887354168,0.0108977056276373,0.0032729573598572
511,"moving Average",0.0850876476735266,0.00396493142377838,0.00119080583823753
526,"ssa",0.0500188082297276,0.00490044791686496,0.00147177374982713
526,"stine",0.22938031654945,0.186038972110807,0.0558739283107563
526,"locf",0.0768288271121066,0.0200352482150498,0.0060172769702745
526,"spline",476.686678801991,462.828310010451,139.003325595187
526,"Seasplit",0.064664500308022,0.0107022869939459,0.00321426639524061
526,"moving Average",0.0900889447390443,0.00430436338466521,0.00129274897861177
541,"ssa",0.0655281161267102,0.00632302721946011,0.00189902344416658
541,"stine",0.322260628283101,0.183376727630989,0.0550743643509938
541,"locf",0.0731338647431803,0.0100030782453011,0.00300426986035994
541,"spline",517.483655468048,634.825151572284,190.659917147297
541,"Seasplit",0.0738747472153049,0.00715820500470133,0.00214985617652284
541,"moving Average",0.0970838258295613,0.00483928745810982,0.00145340515184379
556,"ssa",0.0635866371181246,0.00543356187833609,0.00163188628392004
556,"stine",0.316330632841888,0.194811694075421,0.0585086796888121
556,"locf",0.0706117016933683,0.0125994110708683,0.00378403827404585
556,"spline",529.264864618493,357.606541609739,107.401594637167
556,"Seasplit",0.0729323900072518,0.00865616207496966,0.00259974441771842
556,"moving Average",0.112551963987306,0.00570005017392315,0.00171192192244431
571,"ssa",0.0658137749178293,0.0061950561278253,0.00186058930577759
571,"stine",0.314621356520137,0.225115510144195,0.0676099622177251
571,"locf",0.076363207008551,0.00991236712146265,0.00297702617709921
571,"spline",572.907474347664,503.080128464802,151.092336801701
571,"Seasplit",0.0752177356695466,0.00735224905070407,0.00220813430498416
571,"moving Average",0.129318808490211,0.00654921525186187,0.00196695552185856
586,"ssa",0.0668201572926172,0.00578130413404715,0.00173632529283183
586,"stine",0.298125718049894,0.228799926322122,0.0687165196398435
586,"locf",0.072418951910371,0.00832868239788919,0.0025013909609517
586,"spline",513.166211283548,372.840691141504,111.976935863553
586,"Seasplit",0.0737472195262577,0.00641987246305162,0.00192810941543526
586,"moving Average",0.147507055313214,0.00739456175388527,0.00222084227104825
601,"ssa",0.0673727665423206,0.00564364951077731,0.00169498285546531
601,"stine",0.35398681455059,0.254648999801687,0.0764798891215695
601,"locf",0.0776148844577694,0.0132945439859935,0.00399281069535884
601,"spline",778.772945788486,947.147558226931,284.461122138211
601,"Seasplit",0.0753828208996209,0.00644276990666075,0.0019349863085303
601,"moving Average",0.166999083799863,0.00842927072276127,0.00253160110879887
616,"ssa",0.068322117680804,0.00577467220788201,0.00173433349636623
616,"stine",0.32052797450518,0.280345552398171,0.0841974513146908
616,"locf",0.076010708446207,0.00826945798509332,0.00248360382443263
616,"spline",687.391002809121,636.221539311322,191.079300610556
616,"Seasplit",0.075632095304452,0.00667647215877014,0.0020051751659093
616,"moving Average",0.188138663200365,0.00929803196994049,0.00279252011460343
631,"ssa",0.0681368904746347,0.00486238623267942,0.00146034251157936
631,"stine",0.32000672925213,0.270143542147092,0.0811334353027398
631,"locf",0.0828066302900939,0.0158470644808518,0.00475942075304345
631,"spline",731.930975505002,485.830125715574,145.911565235212
631,"Seasplit",0.0747020351359555,0.01102474355522,0.00331111123685387
631,"moving Average",0.210297545641118,0.0103321271474459,0.00310309460960776
646,"ssa",0.0675234849452226,0.00478464481720429,0.00143699407965808
646,"stine",0.438650348414871,0.305025820890202,0.0916097882931634
646,"locf",0.0827610411612258,0.0110544125150661,0.0033200218501339
646,"spline",758.126325667482,1161.88508147684,348.954216480553
646,"Seasplit",0.0746984737257418,0.011486770121186,0.00344987377102371
646,"moving Average",0.225162259471464,0.0109249463754252,0.00328113869719616
