"idSwarm","id","cpuPercentage","algorithm","req","runtime"
"pc1","us-central1-a",0.06,"stine",2,17.23
"pc1","us-central1-a",0.06,"stine",4,17.33
"pc1","us-central1-a",0.06,"stine",1,17.33
"pc1","us-central1-a",0.06,"stine",3,17.43
"pc1","us-central1-a",0.06,"stine",1,17.46
"pc1","us-central1-a",0.06,"stine",2,17.46
"pc1","us-central1-a",0.06,"stine",4,17.55
"pc1","us-central1-a",0.06,"stine",3,17.75
"pc1","us-central1-a",0.06,"stine",4,17.59
"pc1","us-central1-a",0.06,"stine",1,17.59
"pc1","us-central1-a",0.06,"stine",3,17.69
"pc1","us-central1-a",0.06,"stine",2,17.69
"pc1","us-central1-a",0.06,"stine",2,17.61
"pc1","us-central1-a",0.06,"stine",3,17.69
"pc1","us-central1-a",0.06,"stine",4,17.84
"pc1","us-central1-a",0.06,"stine",1,17.84
"pc1","us-central1-a",0.06,"stine",2,17.26
"pc1","us-central1-a",0.06,"stine",4,17.34
"pc1","us-central1-a",0.06,"stine",3,17.65
"pc1","us-central1-a",0.06,"stine",1,17.78
"pc1","us-central1-a",0.06,"stine",1,17.36
"pc1","us-central1-a",0.06,"stine",4,17.54
"pc1","us-central1-a",0.06,"stine",2,17.65
"pc1","us-central1-a",0.06,"stine",3,17.85
"pc1","us-central1-a",0.06,"stine",4,17.42
