"seed","gapSize","method","sizeLeft","extremeLeft","tend_dif_point_gap","sizeRight","extremeRight","valueRMSE","valueMSE","valueSMAPE","valueMAE","valueDTW","timeExec_sys","timeExec_elap"
1,1,"ssa",1348,890,"-1",1,0,0.00104309716806704,1.08805170202947e-06,NA,2.83895090434043e-05,1.69371079314139e-05,0,0.109999999999673
1,1,"stine",1348,890,"-1",1,0,0.000212980154762527,4.53605463226698e-08,NA,5.79658560563537e-06,3.05423219592363e-06,0,0.000999999999294232
1,1,"locf",1348,890,"-1",1,0,0.000201520996445261,4.06107120082909e-08,NA,5.48470681942347e-06,2.74235340971174e-06,1e-14,1e-14
1,1,"SMA",1348,890,"-1",1,0,0.000199340717275449,3.97367215638906e-08,NA,5.42536713650282e-06,5.42536713650282e-06,0,0
1,1,"seadec",1348,890,"-1",1,0,0.000597675772615817,3.57216329171914e-07,NA,1.62666741614717e-05,8.13333708073586e-06,0,0.00799999999981083
1,1,"seasplit",1348,890,"-1",1,0,0.000153953677043296,2.37017346751514e-08,NA,4.19008836423674e-06,2.74235340971174e-06,0,0.00200000000040745
1,1,"SMA2",1348,890,"-1",1,0,0.000228108648811829,5.20335556627584e-08,NA,6.2083310611634e-06,3.46597765145166e-06,0,0
1,2,"ssa",1347,889,"1",1,0,0.000662914592922431,4.39455757509512e-07,NA,2.53615751463548e-05,1.36920477082327e-05,0,0.103000000000065
1,2,"stine",1347,889,"1",1,0,0.000265686662756575,7.05894027667261e-08,NA,8.68624310347495e-06,4.40922452938104e-06,0,0.00100000000020373
1,2,"locf",1347,889,"1",1,0,0.000271749525499869,7.38478046094038e-08,NA,8.90629811323786e-06,4.32137547490526e-06,1e-14,1e-14
1,2,"SMA",1347,889,"1",1,0,0.000614534793913498,3.77653012930305e-07,NA,2.27567696471663e-05,1.30891804704904e-05,0,0
1,2,"seadec",1347,889,"1",1,0,0.000569673832468391,3.24528275399224e-07,NA,1.72269772766748e-05,9.46888646179099e-06,0,0.00800000000072032
1,2,"seasplit",1347,889,"1",1,0,0.000215447471709162,4.64176130658702e-08,NA,8.29210940095969e-06,4.33312778827248e-06,0,0.00200000000040745
1,2,"SMA2",1347,889,"1",1,0,0.000388609360743574,1.51017235257529e-07,NA,1.49357269126851e-05,3.37446261381193e-06,0,0
1,3,"ssa",1346,889,"-1",1,0,0.00208022917827377,4.32735343414156e-06,NA,9.744891337603e-05,1.5756298638106e-05,0,0.0979999999999563
1,3,"stine",1346,889,"-1",1,0,0.001031455282163,1.06389999910195e-06,NA,4.08688978591935e-05,2.18905956028751e-05,0,0
1,3,"locf",1346,889,"-1",1,0,0.00163553819688727,2.67498519347727e-06,NA,7.65482034712581e-05,4.45314905661893e-06,1e-14,1e-14
1,3,"SMA",1346,889,"-1",1,0,0.00104772527495486,1.09772825177924e-06,NA,4.89229406432373e-05,1.82657804706293e-05,0,0
1,3,"seadec",1346,889,"-1",1,0,0.00107055397880468,1.14608582153454e-06,NA,4.80120689597008e-05,1.53139046135024e-05,0.004,0.0219999999999345
1,3,"seasplit",1346,889,"-1",1,0,0.000222689638349869,4.95906750283955e-08,NA,9.82521613844969e-06,5.09968115701748e-06,0,0.00199999999949796
1,3,"SMA2",1346,889,"-1",1,0,0.00105157875308937,1.105817873949e-06,NA,4.6325759440715e-05,1.95643710718905e-05,0,0
1,4,"ssa",1345,888,"-1",1,0,0.00209274932697042,4.37959974553514e-06,NA,0.000103955233791276,2.10713704367711e-05,0,0.113000000000284
1,4,"stine",1345,888,"-1",1,0,0.00155385428187856,2.41446312931235e-06,NA,7.20436779725707e-05,1.43371738202327e-05,0,0.000999999999294232
1,4,"locf",1345,888,"-1",1,0,0.0019048122659228,3.62830976840997e-06,NA,9.31895533946006e-05,6.53331779703675e-06,1e-14,1e-14
1,4,"SMA",1345,888,"-1",1,0,0.00103985451090672,1.08129740385306e-06,NA,5.54955045773493e-05,3.32179163428582e-05,0,0
1,4,"seadec",1345,888,"-1",1,0,0.000953157555051447,9.08509324751652e-07,NA,4.76767710291904e-05,2.33938917268574e-05,0,0.00799999999981083
1,4,"seasplit",1345,888,"-1",1,0,0.000956492466130724,9.14877837764833e-07,NA,3.51422746934802e-05,8.90336292112204e-06,0,0.00199999999949796
1,4,"SMA2",1345,888,"-1",1,0,0.00103985451090672,1.08129740385306e-06,NA,5.54955045773493e-05,3.32179163428582e-05,0,0.00100000000020373
1,5,"ssa",1344,888,"-1",1,0,0.00215072744565822,4.62562854550754e-06,NA,0.00011871744494288,2.28936630750921e-05,0.00099999999999989,0.103000000000065
1,5,"stine",1344,888,"-1",1,0,0.00091337031185931,8.34245326585974e-07,NA,4.91072786140303e-05,3.47359692036168e-05,0,0
1,5,"locf",1344,888,"-1",1,0,0.00124126192215927,1.54073115940253e-06,NA,7.24035530662804e-05,1.483830568285e-05,1e-14,1e-14
1,5,"SMA",1344,888,"-1",1,0,0.00131764117664483,1.73617827038997e-06,NA,6.69682522191063e-05,2.25054044109523e-05,0,0
1,5,"seadec",1344,888,"-1",1,0,0.00110915045803884,1.23021473856777e-06,NA,6.32725384378925e-05,3.80824789988058e-05,0,0.00600000000031287
1,5,"seasplit",1344,888,"-1",1,0,0.00149512837750237,2.23540886521287e-06,NA,6.64180022060895e-05,1.62203406138551e-05,0,0.00200000000040745
1,5,"SMA2",1344,888,"-1",1,0,0.00136398396004042,1.86045224324753e-06,NA,6.68906109680069e-05,2.1306299944544e-05,0,0
1,6,"ssa",1343,887,"-1",1,0,0.00215561510951044,4.64667650034972e-06,NA,0.000123632823408313,2.78048234278505e-05,0,0.0990000000001601
1,6,"stine",1343,887,"-1",1,0,0.00166742397393969,2.78030270886883e-06,NA,8.46458517881381e-05,4.18444527990197e-05,0,0.000999999999294232
1,6,"locf",1343,887,"-1",1,0,0.00156371627565559,2.44520859075019e-06,NA,8.02276375349796e-05,4.01138187674898e-05,1e-14,1e-14
1,6,"SMA",1343,887,"-1",1,0,0.00161264058093018,2.60060964326284e-06,NA,8.06344829214331e-05,4.08934249387442e-05,0,0
