7.7; 44.4; 25; 100; 80;
84.2; 66.7; 100; 100; 66.7;
50; 100; 100; 100; 91.7;
53.8; 100; 100; 100; 82.4;
7.7; 62.5; 100; 100; 87.5;
50; 33.3; 100; 100; 85;
66.7; 60; 100; 100; 91.7;
14.3; 100; 100; 100; 91.7;
16.7; 100; 100; 100; 90.9;
50; 75; 100; 100; 83.3;
55.6; 62.5; 100; 100; 100;
100; 62.5; 100; 100; 87.5;
28.6; 42.9; 100; 100; 85.7;
29.4; 14.3; 100; 100; 85;
52.6; 71.4; 100; 100; 87.5;
66.7; 100; 100; 100; 100;
100; 66.7; 100; 100; 100;
21.1; 57.1; 100; 100; 84.6;
9.1; 85.7; 100; 100; 90.9;
62.5; 77.8; 100; 100; 88;
100; 100; 100; 100; 85;
11.1; 14.3; 100; 100; 90.9;
0; 57.1; 100; 100; 92.3;
50; 66.7; 100; 100; 75;
20; 57.1; 100; 100; 80;
40; 62.5; 100; 100; 93.3;
50; 66.7; 100; 100; 80;
50; 66.7; 100; 100; 25;
18.2; 75; 100; 100; 70;
50; 57.1; 100; 100; 83.3;
50; 57.1; 100; 100; 90;
100; 57.1; 100; 100; 93.7;
56.4; 35.3; 100; 100; 84;
25; 50; 100; 100; 85;
52.4; 62.5; 100; 100; 83.3;
100; 62.5; 100; 100; 85;
53.3; 55.6; 100; 100; 91.7;
0; 40; 100; 100; 81.3;
0; 14.3; 100; 63.6; 93.7;
12.5; 70; 100; 100; 75;
4.8; 57.1; 100; 100; 83.3;
50; 66.7; 100; 100; 100;
42.9; 0; 100; 100; 87.5;
30; 83.3; 83.3; 100; 100;
100; 90.9; 100; 100; 100;
64.3; 83.3; 100; 100; 85.7;
54.5; 70; 100; 100; 93.7;
57.1; 87.5; 100; 100; 91.7;
27.3; 25; 100; 100; 93.3;
54.5; 37.5; 100; 100; 100;
50; 71.4; 100; 100; 92.9;
50; 100; 100; 93.3; 90.9;
38.1; 60; 100; 100; 91.7;
0; 14.3; 100; 100; 83.3;
22.2; 66.7; 100; 96.3; 90;
21.4; 62.5; 100; 100; 91.7;
23.1; 11.1; 100; 100; 92.3;
33.3; 12.5; 100; 100; 91.7;
57.1; 37.5; 100; 100; 82.6;
50; 57.1; 100; 100; 38.1;
100; 5; 100; 100; 87.5;
100; 72.7; 100; 100; 79.2;
50; 87.5; 100; 100; 75;
55.6; 57.1; 100; 100; 81.2;
50; 63.6; 100; 100; 91.7;
57.1; 62.5; 100; 100; 95;
4.8; 77.8; 100; 100; 87.5;
57.1; 42.9; 100; 100; 76.5;
100; 62.5; 100; 100; 87.5;
53.3; 70; 100; 100; 84.6;
10.5; 85.7; 100; 100; 87.5;
8.3; 45.5; 100; 100; 91.7;
50; 66.7; 100; 100; 83.3;
100; 57.1; 100; 100; 85;
0; 100; 100; 100; 93.7;
57.1; 62.5; 100; 100; 91.7;
100; 66.7; 100; 100; 83.3;
100; 0; 100; 100; 87.5;
33.3; 100; 100; 100; 87.5;
50; 42.9; 100; 100; 84.6;
14.3; 14.3; 100; 100; 95.7;
5.9; 0; 100; 100; 85;
0; 14.3; 100; 100; 90;
6.7; 14.3; 100; 100; 91.7;
6.7; 12.5; 100; 100; 91.7;
6.7; 14.3; 100; 100; 100;
6.7; 25; 100; 100; 85;
6.3; 16.7; 100; 100; 81.3;
6.7; 16.7; 100; 100; 82.1;
8.3; 12.5; 100; 100; 95;
7.1; 25; 100; 100; 81.8;
7.7; 6.7; 100; 100; 80;
6.7; 0; 100; 100; 86.7;
11.1; 0; 100; 100; 89.5;
7.1; 16.7; 100; 100; 87.5;
7.7; 0; 100; 100; 85;
10; 25; 100; 100; 91.3;
9.1; 14.3; 100; 100; 87.5;
12.5; 14.3; 100; 100; 83.3;
0; 0; 100; 100; 81.8;
6.7; 16.7; 100; 100; 100;
10.5; 28.6; 100; 100; 68.4;
5.6; 16.7; 100; 100; 58.8;
7.1; 0; 100; 100; 37.5;
6.7; 14.3; 100; 100; 31.8;
10; 14.3; 100; 100; 25;
0; 0; 100; 100; 54.5;
0; 25; 100; 100; 40;
11.1; 14.3; 100; 100; 43.7;
0; 12.5; 100; 100; 33.3;
6.3; 28.6; 100; 100; 100;
9.1; 16.7; 80; 100; 100;
13.3; 14.3; 100; 100; 100;
5.9; 14.3; 100; 100; 47.1;
10; 0; 100; 100; 36.4;
5.9; 14.3; 100; 100; 21.4;
13.3; 0; 100; 100; 25;
0; 20; 100; 100; 37.5;
13.3; 14.3; 100; 100; 25;
1.8; 7.1; 100; 100; 25;
0; 16.7; 100; 100; 22.2;
6.3; 33.3; 100; 100; 23.1;
5.6; 14.3; 100; 100; 23.1;
0; 25; 100; 100; 33.3;
0; 25; 100; 100; 23.1;
8.3; 14.3; 100; 100; 38.9;
0; 20; 100; 100; 40;
6.7; 14.3; 100; 100; 50;
6.7; 14.3; 50; 100; 27.8;
5.9; 25; 60; 100; 23.1;
8.3; 20; 42.9; 100; 20;
0; 10; 40; 100; 12.5;
10; 0; 25; 100; 8.3;
7.7; 25; 0; 100; 25;
11.8; 25; 25; 100; 11.1;
9.1; 14.3; 20; 100; 11.8;
0; 0; 0; 100; 6.3;
15.4; 16.7; 0; 100; 11.8;
5.9; 14.3; 20; 100; 22.2;
6.3; 25; 25; 100; 11.8;
6.3; 14.3; 0; 100; 22.2;
11.1; 14.3; 25; 100; 11.8;
6.7; 0; 20; 100; 6.2;
7.1; 0; 33.3; 100; 14.3;
6.3; 14.3; 25; 100; 10.5;
10; 28.6; 50; 100; 7.1;
4.5; 28.6; 20; 100; 12.5;
11.1; 16.7; 40; 100; 12.5;
6.2; 44.4; 60; 100; 11.8;
11.8; 14.3; 40; 100; 12.5;
0; 0; 40; 100; 11.1;
0; 28.6; 25; 100; 36.8;
5.9; 16.7; 25; 100; 17.6;
6.7; 16.7; 50; 100; 6.7;
0; 14.3; 33.3; 100; 12.5;
7.1; 14.3; 25; 100; 16.7;
14.3; 28.6; 0; 100; 21.1;
