6.3; 14.3; 25; 100; 50;
23.1; 16.7; 0; 100; 86.7;
100; 57.1; 100; 100; 81.3;
24; 10; 100; 100; 78.1;
73.3; 66.7; 100; 100; 84.6;
100; 22.2; 100; 100; 85;
25; 44.4; 100; 100; 91.7;
53.3; 37.5; 100; 100; 86.7;
100; 42.9; 100; 100; 87.5;
100; 66.7; 100; 100; 84.6;
14.3; 33.3; 100; 100; 90.9;
77.8; 100; 100; 100; 100;
20; 0; 100; 100; 85;
21.4; 16.7; 100; 100; 66.7;
4.3; 42.9; 100; 100; 84.6;
25; 42.9; 100; 100; 85.7;
0; 42.9; 100; 100; 83.3;
52.4; 100; 100; 100; 85;
27.3; 85.7; 100; 100; 91.7;
5.6; 80; 100; 100; 88.9;
28.6; 44.4; 100; 100; 83.3;
92.9; 100; 100; 100; 91.7;
83.3; 16.7; 100; 100; 90.9;
33.3; 0; 100; 100; 81.8;
33.3; 62.5; 100; 100; 85;
52.9; 33.3; 100; 100; 85;
11.1; 70; 100; 100; 87.5;
92.9; 62.5; 100; 100; 87.5;
100; 50; 100; 100; 91.7;
85.7; 87.5; 100; 100; 75;
100; 25; 100; 100; 87.5;
33.3; 100; 100; 100; 91.7;
52.6; 33.3; 100; 100; 91.7;
60; 87.5; 100; 100; 84.2;
25; 44.4; 100; 100; 91.7;
62.5; 9.1; 100; 100; 87.5;
5; 60; 100; 96; 79.2;
6.7; 10; 100; 100; 87.5;
26.1; 33.3; 100; 100; 90.9;
0; 62.5; 100; 100; 87.5;
12.5; 14.3; 100; 100; 81;
28.6; 22.2; 100; 100; 80;
22.2; 22.2; 100; 100; 88.6;
0; 14.3; 100; 100; 90.9;
0; 100; 100; 100; 91.7;
2.8; 35; 100; 100; 77.8;
30; 25; 100; 100; 57.9;
100; 83.3; 100; 100; 89.5;
21.1; 16.7; 100; 100; 91.7;
7.7; 12.5; 100; 100; 91.7;
10; 100; 100; 100; 83.3;
77.8; 33.3; 100; 100; 93.8;
0; 50; 100; 100; 85;
30; 0; 100; 100; 85;
0; 37.5; 100; 100; 66.7;
33.3; 42.9; 100; 100; 93.7;
42.9; 33.3; 100; 100; 91.7;
40; 66.7; 100; 100; 58.8;
8.3; 44.4; 100; 100; 57.1;
50; 25; 100; 100; 80;
4.8; 37.5; 100; 100; 91.7;
50; 40; 100; 100; 91.7;
11.1; 50; 100; 100; 81;
