0; 50; 25; 100; 33.3;
0; 14.3; 0; 100; 23.8;
0; 22.2; 100; 100; 26.3;
0; 33.3; 50; 100; 25;
10; 14.3; 33.3; 100; 11.1;
16.7; 50; 0; 100; 20;
12.5; 12.5; 100; 100; 33.3;
14.3; 25; 50; 100; 22.2;
0; 22.2; 25; 100; 33.3;
0; 40; 50; 100; 20;
25; 16.7; 50; 100; 15.4;
12.5; 0; 100; 100; 13.3;
5.3; 10; 25; 100; 14.3;
0; 100; 50; 100; 12.5;
10; 25; 40; 100; 37.5;
15.4; 4.8; 0; 100; 40;
50; 0; 0; 100; 11.1;
14.3; 0; 0; 100; 45.5;
0; 25; 50; 100; 14.3;
13.3; 25; 37.5; 84.2; 37.5;
16.7; 14.3; 0; 87.5; 10.8;
14.3; 25; 20; 100; 25;
20; 33.3; 100; 83.3; 15.4;
0; 5.9; 0; 100; 25;
5.4; 100; 100; 90.9; 0;
11.1; 11.1; 20; 100; 72.7;
0; 25; 100; 100; 28.6;
0; 40; 0; 100; 10.5;
0; 33.3; 0; 100; 0;
50; 12.5; 50; 100; 30.8;
33.3; 40; 50; 100; 45.5;
0; 12.5; 0; 100; 11.1;
1.4; 0; 0; 100; 12.5;
5.9; 33.3; 0; 100; 30;
0; 0; 0; 100; 25;
8.3; 14.3; 0; 100; 33.3;
0; 33.3; 100; 100; 33.3;
0; 33.3; 25; 100; 57.1;
16.7; 42.9; 50; 100; 0;
14.3; 16.7; 0; 100; 50;
33.3; 20; 100; 100; 4.8;
0; 40; 33.3; 100; 18.8;
0; 0; 50; 100; 20;
8.3; 0; 50; 100; 18.2;
20; 16.7; 0; 100; 18.5;
0; 0; 0; 100; 35;
0; 11.1; 20; 100; 23.1;
100; 5; 100; 100; 45.5;
14.3; 0; 25; 100; 30.8;
100; 0; 25; 100; 16.7;
7.7; 22.2; 100; 100; 14.3;
0; 0; 0; 100; 13;
0; 14.3; 0; 100; 16.7;
7.7; 20; 18.2; 100; 25;
11.1; 9.1; 33.3; 100; 36.4;
50; 20; 100; 100; 28.6;
0; 7.7; 25; 100; 30;
0; 10; 50; 100; 46.7;
0; 0; 33.3; 100; 18.2;
10; 6.7; 25; 100; 22.2;
0; 12.5; 7.7; 100; 35.3;
10.5; 50; 33.3; 100; 25;
0; 25; 50; 100; 4.5;
0; 0; 60; 100; 14.3;
3.2; 12.5; 20; 100; 7.4;
5.3; 16.7; 0; 100; 12.5;
12.5; 14.3; 0; 100; 11.1;
6.2; 12.5; 25; 100; 23.1;
0; 0; 0; 100; 16.7;
0; 0; 0; 100; 6.3;
11.1; 14.3; 0; 100; 35.7;
5; 48; 66.7; 87.5; 5.3;
6.7; 25; 75; 72.7; 20;
42.9; 44.4; 40; 100; 40;
0; 12.5; 100; 100; 15.8;
12.5; 14.3; 25; 100; 6.7;
6.9; 14.3; 40; 100; 20;
0; 14.3; 40; 100; 18.2;
6.7; 0; 60; 100; 16.7;
5; 0; 20; 100; 29.4;
0; 12.5; 20; 100; 0;
