7.1; 0; 33.3; 100; 0;
33.3; 83.3; 66.7; 100; 71.4;
100; 36.4; 100; 100; 14.3;
100; 0; 100; 100; 47.6;
100; 100; 75; 100; 80;
7.1; 8.3; 100; 100; 50;
33.3; 100; 100; 100; 85.7;
72.7; 36.4; 0; 100; 68.8;
2.9; 100; 100; 100; 40;
100; 71.4; 12.5; 100; 40;
6.7; 78.8; 100; 100; 82.8;
100; 84.6; 12.5; 100; 17.6;
0; 100; 100; 100; 35;
100; 33.3; 100; 100; 40;
25; 100; 75; 100; 37.5;
100; 50; 33.3; 100; 20;
33.3; 75; 100; 100; 30;
100; 100; 50; 100; 55;
3.7; 17.6; 100; 100; 11.8;
25; 100; 80; 100; 38.5;
100; 22.2; 0; 100; 100;
25; 85.7; 100; 100; 58.1;
83.3; 57.9; 22.2; 100; 71.4;
75; 41.7; 100; 100; 91.7;
0; 100; 0; 100; 60;
100; 42.9; 100; 100; 42.9;
61.5; 100; 100; 100; 75;
47.8; 57.1; 0; 100; 31.2;
50; 100; 100; 100; 63.2;
100; 92.9; 50; 100; 85.7;
33.3; 85.7; 100; 100; 33.3;
100; 100; 100; 100; 90.9;
50; 100; 50; 100; 50;
78.9; 9.1; 100; 100; 33.3;
27.3; 100; 100; 100; 100;
100; 50; 50; 100; 88.9;
6.7; 57.1; 100; 100; 100;
100; 100; 100; 100; 81.8;
100; 100; 20; 100; 77.8;
58.3; 100; 100; 100; 83.3;
83.3; 11.1; 100; 100; 11.1;
20; 100; 66.7; 100; 41.7;
100; 22.2; 16.7; 100; 5.9;
8.3; 100; 100; 100; 63.6;
100; 60; 57.1; 100; 100;
0; 100; 11.1; 100; 100;
100; 10; 20; 100; 20;
25.9; 57.7; 100; 100; 25;
100; 37.5; 100; 100; 0;
100; 28.6; 100; 100; 57.1;
77.8; 100; 100; 100; 62.5;
14.3; 9.1; 42.9; 100; 77.8;
20; 58.8; 83.3; 100; 0;
100; 71.4; 100; 100; 50;
37.5; 33.3; 100; 100; 69.2;
75; 37.5; 100; 100; 37.5;
0; 75; 100; 100; 0;
100; 87.5; 25; 100; 22.2;
0; 50; 100; 100; 6.2;
100; 100; 0; 100; 6.7;
5.9; 75; 100; 100; 33.3;
100; 42.1; 50; 100; 28.1;
27.3; 0; 20; 100; 20;
100; 100; 33.3; 100; 61.5;
37.5; 10; 100; 100; 16.7;
6.2; 100; 100; 100; 58.3;
100; 75; 100; 100; 62.5;
100; 100; 66.7; 100; 41.7;
0; 100; 50; 100; 35.7;
100; 100; 11.1; 100; 36.4;
0; 100; 100; 100; 18.7;
100; 42.9; 100; 100; 58.3;
100; 100; 16.7; 100; 63.6;
78.6; 0; 100; 100; 40;
100; 100; 54.5; 100; 76;
81.8; 36.4; 100; 100; 60;
0; 100; 50; 100; 50;
90; 56.5; 0; 100; 23.1;
33.3; 33.3; 100; 100; 87.5;
57.1; 75; 100; 100; 75;
26.3; 100; 0; 100; 57.1;
50; 50; 100; 100; 66.7;
60; 100; 100; 100; 93.3;
100; 5.6; 100; 100; 46.2;
0; 62.5; 100; 100; 3.6;
58.3; 100; 100; 100; 80;
100; 100; 20; 100; 66.7;
9.1; 100; 100; 100; 72.7;
100; 69.2; 100; 100; 40;
100; 100; 100; 100; 40.9;
55.6; 53.8; 63.6; 100; 22.2;
81.8; 100; 66.7; 100; 100;
100; 100; 60; 100; 35;
100; 30.4; 100; 100; 83.3;
0; 100; 100; 100; 43.8;
50; 9.1; 63.6; 100; 58.8;
33.3; 100; 11.1; 100; 57.1;
100; 81.8; 50; 100; 50;
