22.2; 13.3; 0; 100; 58.3;
8.3; 100; 28.6; 100; 25;
100; 33.3; 100; 100; 75;
0; 100; 100; 100; 50;
100; 10; 0; 100; 100;
10; 100; 100; 100; 40;
100; 0; 40; 100; 53.6;
100; 100; 100; 100; 54.2;
0; 58.6; 100; 100; 12.5;
100; 57.9; 50; 100; 4.5;
33.3; 50; 100; 100; 62.9;
14.3; 100; 100; 100; 37.5;
100; 34.6; 70.6; 100; 62.5;
5.6; 79.3; 100; 100; 86.7;
100; 31.6; 100; 100; 12.5;
0; 100; 57.1; 100; 26.3;
100; 0; 100; 100; 40;
79.3; 33.3; 100; 100; 66.7;
100; 100; 66.7; 100; 66.7;
33.3; 0; 100; 100; 58.6;
100; 85.7; 100; 100; 54.2;
100; 100; 100; 100; 31.8;
0; 36.4; 100; 100; 100;
78.9; 80; 100; 100; 66.7;
57.1; 100; 12.5; 100; 0;
100; 81.8; 22.2; 100; 83.9;
5.3; 100; 100; 100; 87.5;
100; 100; 100; 100; 10.7;
55.6; 5.9; 100; 100; 82.1;
100; 100; 11.8; 100; 56.3;
100; 4.3; 100; 100; 66.7;
13.3; 100; 55.6; 100; 83.3;
100; 2.1; 11.8; 100; 57.1;
2.9; 33.3; 100; 100; 81.3;
100; 100; 100; 100; 38.1;
100; 30.8; 100; 100; 62.5;
85.7; 100; 50; 100; 75;
100; 80; 100; 100; 0;
50; 34.6; 66.7; 100; 41.7;
100; 90.9; 28.6; 100; 62.5;
5.6; 6.7; 100; 100; 40;
28.1; 53.3; 100; 100; 100;
100; 100; 53.3; 100; 60;
25; 41.7; 100; 100; 37.5;
90.5; 100; 100; 100; 40;
100; 18.2; 100; 100; 75;
0; 100; 6.7; 100; 37.5;
100; 33.3; 66.7; 100; 75;
71.4; 100; 100; 100; 80;
100; 100; 28.6; 100; 33.3;
7.7; 100; 100; 100; 100;
100; 0; 100; 100; 80;
100; 78.8; 33.3; 100; 30.4;
100; 0; 100; 100; 11.5;
37.5; 100; 57.9; 100; 41.7;
100; 2.4; 25; 100; 33.3;
4.5; 100; 100; 100; 42.9;
81.8; 90; 100; 100; 63.6;
36.4; 68.4; 70; 100; 94.7;
100; 100; 14.3; 100; 8.3;
13.3; 14.3; 100; 100; 71;
80; 58.3; 100; 100; 100;
25; 100; 100; 100; 91.7;
100; 6.7; 7.1; 100; 33.3;
73.9; 100; 100; 100; 100;
46.2; 60; 100; 100; 75;
76; 52.4; 5; 100; 62.5;
28; 10.5; 100; 100; 5.3;
100; 87.5; 93.3; 100; 52;
6.3; 7.1; 100; 100; 35.3;
100; 100; 66.7; 100; 59.1;
3.8; 6.3; 100; 100; 54.1;
100; 100; 12.5; 100; 87.5;
0; 100; 100; 100; 52;
100; 56; 100; 100; 50;
37; 100; 100; 100; 100;
100; 33.3; 9.1; 100; 30;
20; 100; 58.3; 100; 60.9;
100; 100; 50; 100; 55.6;
4.2; 6.7; 100; 100; 75;
65; 22.7; 54.5; 100; 85;
12.5; 100; 60; 100; 27.3;
