3;random;SMA;0:01.01 ;27;0.001;.022;0.0044156703260322
1;random;SMA;0:01.29 ;198;0.012;.020;0.0260920139484302
26;random;seadec;0:00.88 ;148;0.006;.264;0.0196202016385114
21;random;ssa;0:01.23 ;421;0.006;.247;0.0450325086617828
2;random;ssa;0:02.03 ;115;0.001;.021;0.0189752485931269
10;random;ssa;0:01.75 ;263;0.014;.097;0.0351769567303275
14;random;ssa;0:01.75 ;549;0.011;.172;0.0639327156526897
16;random;seadec;0:01.69 ;89;0.019;.201;0.0240361194750053
15;random;seadec;0:01.81 ;74;0.01;.182;0.00929623085818988
13;random;ssa;0:01.97 ;343;0.044;.161;0.0377148729094167
45;random;SMA;0:00.89 ;177;0.003;.444;0.0303277073168743
46;random;SMA;0:00.89 ;217;0.013;.457;0.0262853423085934
53;random;SMA;0:00.91 ;374;0.006;.556;0.0400802183599336
18;random;seadec;0:02.62 ;157;0.003;.211;0.0200366493973128
48;random;ssa;0:01.56 ;583;0.005;.472;0.0657184273159393
57;random;seadec;0:01.35 ;145;0.003;.577;0.0196202016385114
37;random;seadec;0:02.30 ;66;0.007;.378;0.00929623085818988
72;random;SMA;0:00.97 ;230;0.029;.802;0.0294444332989678
23;random;SMA;0:02.96 ;215;0.006;.256;0.0262853423085934
8;random;ssa;0:01.87 ;583;0.01;.082;0.0657184273159393
56;random;ssa;0:01.87 ;454;0.002;.574;0.0462637861154206
39;random;ssa;0:02.60 ;557;0.002;.388;0.0650104625049824
43;random;ssa;0:02.51 ;519;0.013;.435;0.0482841409439691
67;random;ssa;0:01.94 ;524;0.011;.716;0.0482841409439691
58;random;SMA;0:02.47 ;16;0.011;.588;0.0044156703260322
30;random;ssa;0:03.57 ;343;0.014;.340;0.0377148729094167
78;random;seadec;0:01.82 ;147;0.008;.838;0.0196202016385114
83;random;ssa;0:01.69 ;479;0.001;.889;0.0463158279553995
106;random;seadec;0:00.91 ;97;0.002;1.102;0.0200421445003984
69;random;SMA;0:02.73 ;232;0.008;.732;0.0294444332989678
38;random;SMA;0:04.05 ;235;0.008;.386;0.0294444332989678
109;random;SMA;0:01.47 ;389;0.008;1.139;0.0385801680617862
62;random;ssa;0:03.42 ;447;0.002;.610;0.0464705153781347
113;random;seadec;0:01.41 ;129;0.001;1.174;0.0194549251238626
98;random;ssa;0:01.41 ;330;0.001;1.026;0.0369276456170677
73;random;SMA;0:03.08 ;415;0.003;.805;0.0423559013427496
7;random;ssa;0:05.78 ;332;0.005;.072;0.0377148729094167
17;random;ssa;0:05.88 ;586;0.007;.208;0.0658004472335592
120;random;seadec;0:01.98 ;68;0.002;1.207;0.00929623085818988
117;random;SMA;0:02.15 ;189;0.001;1.200;0.027678078136308
137;random;SMA;0:01.54 ;213;0.001;1.340;0.0262853423085934
75;random;SMA;0:04.05 ;202;0.001;.810;0.0260920139484302
81;random;SMA;0:03.76 ;397;0.01;.880;0.0386866425310276
40;random;ssa;0:05.54 ;242;0.011;.399;0.034465109395276
121;random;ssa;0:02.47 ;322;0.007;1.214;0.0369276456170677
12;random;seadec;0:06.76 ;150;0.012;.117;0.0196202016385114
25;random;SMA;0:06.59 ;214;0.001;.258;0.0262853423085934
