0;roundrobin;SMA;1.281354854;406;0.053;.053;0.0423559013427496;pc1
4;roundrobin;SMA;1.357592684;346;0.031;.187;0.0427559244477954;pc1
2;roundrobin;ssa;1.572950218;115;0.01;.146;0.0189752485931269;pc3
1;roundrobin;SMA;1.632877414;198;0.083;.136;0.0260920139484302;pc2
3;roundrobin;SMA;1.791132236;27;0.01;.156;0.0044156703260322;pc5
5;roundrobin;SMA;1.793921257;29;0.203;.390;0.0044156703260322;pc2
9;roundrobin;SMA;1.963439141;211;0.01;.591;0.0262853423085934;pc2
8;roundrobin;ssa;2.043429579;583;0.067;.581;0.0657184273159393;pc1
12;roundrobin;seadec;1.646850068;150;0.087;.828;0.0196202016385114;pc1
11;roundrobin;seadec;1.829056257;132;0.053;.741;0.0194549251238626;pc5
6;roundrobin;ssa;2.316745208;488;0.086;.476;0.0468428353029938;pc3
7;roundrobin;ssa;2.309579893;332;0.038;.514;0.0377148729094167;pc5
10;roundrobin;ssa;2.178566956;263;0.097;.688;0.0351769567303275;pc3
14;roundrobin;ssa;1.916279318;549;0.074;1.212;0.0639327156526897;pc3
16;roundrobin;seadec;1.584005413;89;0.131;1.415;0.0240361194750053;pc1
13;roundrobin;ssa;2.333137504;343;0.31;1.138;0.0377148729094167;pc2
18;roundrobin;seadec;1.726216079;157;0.024;1.485;0.0200366493973128;pc3
15;roundrobin;seadec;2.306437596;74;0.072;1.284;0.00929623085818988;pc5
20;roundrobin;ssa;1.622556691;523;0.166;1.692;0.0482841409439691;pc1
17;roundrobin;ssa;2.287710946;586;0.046;1.461;0.0658004472335592;pc2
26;roundrobin;seadec;1.614602472;148;0.041;1.850;0.0196202016385114;pc3
19;roundrobin;ssa;2.567795358;335;0.041;1.526;0.0377148729094167;pc5
24;roundrobin;ssa;2.077333353;255;0.007;1.805;0.034465109395276;pc1
22;roundrobin;ssa;2.355882924;597;0.021;1.758;0.0658004472335592;pc3
23;roundrobin;SMA;2.265787624;215;0.04;1.798;0.0262853423085934;pc5
25;roundrobin;SMA;2.445997042;214;0.004;1.809;0.0262853423085934;pc2
21;roundrobin;ssa;2.960403502;421;0.045;1.737;0.0450325086617828;pc2
34;roundrobin;seadec;1.786766418;161;0.014;2.511;0.0200366493973128;pc3
36;roundrobin;SMA;1.728194010;366;0.021;2.604;0.0400802183599336;pc1
31;roundrobin;seadec;2.350951212;85;0.003;2.382;0.0240361194750053;pc5
38;roundrobin;SMA;1.770339019;235;0.053;2.708;0.0294444332989678;pc3
30;roundrobin;ssa;2.575244713;343;0.1;2.379;0.0377148729094167;pc3
28;roundrobin;ssa;2.877293759;499;0.082;2.209;0.0472776063296307;pc1
27;roundrobin;ssa;3.077959928;441;0.277;2.127;0.0464705153781347;pc5
29;roundrobin;SMA;2.929426057;418;0.07;2.279;0.0423559013427496;pc2
32;roundrobin;ssa;2.773570960;272;0.023;2.405;0.0351994025147571;pc1
33;roundrobin;ssa;2.905266654;556;0.092;2.497;0.0650104625049824;pc2
40;roundrobin;ssa;2.341934650;242;0.076;2.800;0.034465109395276;pc1
46;roundrobin;SMA;1.854802259;217;0.091;3.201;0.0262853423085934;pc3
42;roundrobin;ssa;2.396577292;502;0.09;2.962;0.0472776063296307;pc3
44;roundrobin;seadec;2.202772135;78;0.039;3.089;0.0240361194750053;pc1
37;roundrobin;seadec;3.256212893;66;0.051;2.655;0.00929623085818988;pc2
49;roundrobin;ssa;1.906367512;442;0.141;3.448;0.0464705153781347;pc2
39;roundrobin;ssa;3.598722054;557;0.016;2.724;0.0650104625049824;pc5
54;roundrobin;SMA;1.672821973;38;0.042;3.937;0.00572928357269349;pc3
52;roundrobin;ssa;1.885500185;570;0.225;3.856;0.0650104625049824;pc1
35;roundrobin;ssa;4.326636396;497;0.072;2.583;0.0472776063296307;pc5
41;roundrobin;ssa;3.768309057;331;0.072;2.872;0.0377148729094167;pc2
58;roundrobin;SMA;1.583981766;16;0.077;4.119;0.0044156703260322;pc3
45;roundrobin;SMA;3.652068557;177;0.021;3.110;0.0303277073168743;pc2
56;roundrobin;ssa;2.091756881;454;0.015;4.020;0.0462637861154206;pc1
47;roundrobin;ssa;3.500629767;120;0.07;3.271;0.0189752485931269;pc5
61;roundrobin;ssa;1.977770268;499;0.078;4.257;0.0472776063296307;pc2
63;roundrobin;SMA;1.747609085;395;0.11;4.384;0.0386866425310276;pc5
48;roundrobin;ssa;4.003476589;583;0.036;3.307;0.0657184273159393;pc1
50;roundrobin;SMA;3.655372019;211;0.03;3.478;0.0262853423085934;pc3
53;roundrobin;SMA;3.332392595;374;0.039;3.895;0.0400802183599336;pc2
64;roundrobin;ssa;1.936631973;593;0.338;4.722;0.0658004472335592;pc1
43;roundrobin;ssa;5.098555919;519;0.088;3.050;0.0482841409439691;pc5
55;roundrobin;SMA;3.687101227;213;0.068;4.005;0.0262853423085934;pc5
66;roundrobin;ssa;2.189652203;325;0.191;4.943;0.0369276456170677;pc3
57;roundrobin;seadec;3.883650448;145;0.022;4.042;0.0196202016385114;pc2
70;roundrobin;ssa;1.946666518;117;0.125;5.264;0.0189752485931269;pc3
68;roundrobin;ssa;2.349626710;518;0.057;5.080;0.0482841409439691;pc1
72;roundrobin;SMA;1.662113524;230;0.204;5.630;0.0294444332989678;pc1
51;roundrobin;SMA;5.057036493;35;0.153;3.631;0.00572928357269349;pc5
74;roundrobin;SMA;1.539249421;42;0.027;5.677;0.00572928357269349;pc3
76;roundrobin;SMA;1.728246688;198;0.025;5.706;0.0260920139484302;pc1
59;roundrobin;seadec;4.371655798;153;0.054;4.173;0.0200366493973128;pc5
62;roundrobin;ssa;4.201047300;447;0.017;4.274;0.0464705153781347;pc3
81;roundrobin;SMA;1.460804806;397;0.071;6.164;0.0386866425310276;pc2
80;roundrobin;ssa;1.736606800;535;0.027;6.093;0.0656320663227048;pc1
65;roundrobin;ssa;4.179814238;253;0.03;4.752;0.034465109395276;pc2
60;roundrobin;SMA;5.025853275;14;0.006;4.179;0.00312822529954525;pc1
71;roundrobin;seadec;3.517714466;154;0.162;5.426;0.0200366493973128;pc5
69;roundrobin;SMA;4.014757667;232;0.059;5.139;0.0294444332989678;pc2
83;roundrobin;ssa;2.128690359;479;0.004;6.225;0.0463158279553995;pc5
88;roundrobin;seadec;1.741638750;105;0.094;6.732;0.0200421445003984;pc1
79;roundrobin;SMA;2.981338669;349;0.193;6.066;0.0427559244477954;pc5
73;roundrobin;SMA;4.056637177;415;0.02;5.650;0.0423559013427496;pc2
67;roundrobin;ssa;5.289360507;524;0.08;5.023;0.0482841409439691;pc5
92;roundrobin;SMA;1.734845384;230;0.073;7.055;0.0294444332989678;pc1
78;roundrobin;seadec;3.768525241;147;0.057;5.873;0.0196202016385114;pc3
85;roundrobin;ssa;2.814600689;336;0.056;6.441;0.0377148729094167;pc2
90;roundrobin;ssa;2.172548924;288;0.072;6.951;0.0354027676498525;pc3
94;roundrobin;SMA;1.853596439;183;0.048;7.121;0.027678078136308;pc3
