0;roundrobin;SMA;.635979239;406;0.453;.453;0.0423559013427496;pc1
1;roundrobin;SMA;.865347210;198;0.709;1.162;0.0260920139484302;pc2
3;roundrobin;SMA;1.010937664;27;0.084;1.333;0.0044156703260322;pc5
4;roundrobin;SMA;.713718814;346;0.262;1.595;0.0427559244477954;pc1
2;roundrobin;ssa;1.667687261;115;0.087;1.249;0.0189752485931269;pc3
5;roundrobin;SMA;.869279008;29;1.737;3.332;0.0044156703260322;pc2
8;roundrobin;ssa;.862467124;583;0.574;4.968;0.0657184273159393;pc1
6;roundrobin;ssa;2.035559082;488;0.738;4.070;0.0468428353029938;pc3
9;roundrobin;SMA;.880221328;211;0.088;5.056;0.0262853423085934;pc2
11;roundrobin;seadec;.952767856;132;0.457;6.347;0.0194549251238626;pc5
10;roundrobin;ssa;1.824893141;263;0.834;5.890;0.0351769567303275;pc3
12;roundrobin;seadec;.662283872;150;0.743;7.090;0.0196202016385114;pc1
7;roundrobin;ssa;3.898768321;332;0.324;4.394;0.0377148729094167;pc5
13;roundrobin;ssa;1.133839297;343;2.654;9.744;0.0377148729094167;pc2
15;roundrobin;seadec;.913749205;74;0.621;10.998;0.00929623085818988;pc5
14;roundrobin;ssa;1.671081955;549;0.633;10.377;0.0639327156526897;pc3
16;roundrobin;seadec;.653662463;89;1.126;12.124;0.0240361194750053;pc1
17;roundrobin;ssa;1.041848959;586;0.393;12.517;0.0658004472335592;pc2
18;roundrobin;seadec;1.449103463;157;0.202;12.719;0.0200366493973128;pc3
20;roundrobin;ssa;.861376601;523;1.419;14.491;0.0482841409439691;pc1
21;roundrobin;ssa;1.255256450;421;0.385;14.876;0.0450325086617828;pc2
24;roundrobin;ssa;.861892706;255;0.064;15.456;0.034465109395276;pc1
23;roundrobin;SMA;.964827991;215;0.34;15.392;0.0262853423085934;pc5
25;roundrobin;SMA;.906960366;214;0.036;15.492;0.0262853423085934;pc2
19;roundrobin;ssa;3.942602107;335;0.353;13.072;0.0377148729094167;pc5
22;roundrobin;ssa;1.975320136;597;0.176;15.052;0.0658004472335592;pc3
26;roundrobin;seadec;1.618133434;148;0.347;15.839;0.0196202016385114;pc3
28;roundrobin;ssa;.989119911;499;0.704;18.918;0.0472776063296307;pc1
29;roundrobin;SMA;.892043237;418;0.598;19.516;0.0423559013427496;pc2
31;roundrobin;seadec;1.038014572;85;0.022;20.399;0.0240361194750053;pc5
32;roundrobin;ssa;.866855336;272;0.194;20.593;0.0351994025147571;pc1
30;roundrobin;ssa;2.104519068;343;0.861;20.377;0.0377148729094167;pc3
33;roundrobin;ssa;1.006152328;556;0.792;21.385;0.0650104625049824;pc2
34;roundrobin;seadec;1.551709279;161;0.122;21.507;0.0200366493973128;pc3
36;roundrobin;SMA;.668530508;366;0.181;22.302;0.0400802183599336;pc1
37;roundrobin;seadec;.877654190;66;0.435;22.737;0.00929623085818988;pc2
27;roundrobin;ssa;6.113568528;441;2.375;18.214;0.0464705153781347;pc5
38;roundrobin;SMA;1.424337108;235;0.451;23.188;0.0294444332989678;pc3
40;roundrobin;ssa;.888767811;242;0.648;23.977;0.034465109395276;pc1
41;roundrobin;ssa;1.139858867;331;0.617;24.594;0.0377148729094167;pc2
42;roundrobin;ssa;1.669622098;502;0.775;25.369;0.0472776063296307;pc3
44;roundrobin;seadec;.666096557;78;0.333;26.454;0.0240361194750053;pc1
39;roundrobin;ssa;4.337603389;557;0.141;23.329;0.0650104625049824;pc5
45;roundrobin;SMA;.871118727;177;0.181;26.635;0.0303277073168743;pc2
46;roundrobin;SMA;1.422031780;217;0.776;27.411;0.0262853423085934;pc3
35;roundrobin;ssa;7.718691101;497;0.614;22.121;0.0472776063296307;pc5
48;roundrobin;ssa;.877599645;583;0.309;28.317;0.0657184273159393;pc1
43;roundrobin;ssa;3.571594981;519;0.752;26.121;0.0482841409439691;pc5
47;roundrobin;ssa;2.608685309;120;0.597;28.008;0.0189752485931269;pc5
49;roundrobin;ssa;1.185120695;442;1.205;29.522;0.0464705153781347;pc2
50;roundrobin;SMA;1.425594725;211;0.253;29.775;0.0262853423085934;pc3
51;roundrobin;SMA;.907937559;35;1.307;31.082;0.00572928357269349;pc5
52;roundrobin;ssa;.859740898;570;1.931;33.013;0.0650104625049824;pc1
53;roundrobin;SMA;.879256095;374;0.335;33.348;0.0400802183599336;pc2
54;roundrobin;SMA;1.419447041;38;0.357;33.705;0.00572928357269349;pc3
55;roundrobin;SMA;1.056534131;213;0.586;34.291;0.0262853423085934;pc5
57;roundrobin;seadec;.891103736;145;0.186;34.603;0.0196202016385114;pc2
56;roundrobin;ssa;1.232231236;454;0.126;34.417;0.0462637861154206;pc1
60;roundrobin;SMA;.654998104;14;0.054;35.786;0.00312822529954525;pc1
58;roundrobin;SMA;1.407669836;16;0.664;35.267;0.0044156703260322;pc3
59;roundrobin;seadec;.920185090;153;0.465;35.732;0.0200366493973128;pc5
61;roundrobin;ssa;1.212311727;499;0.665;36.451;0.0472776063296307;pc2
62;roundrobin;ssa;1.953254485;447;0.148;36.599;0.0464705153781347;pc3
63;roundrobin;SMA;.987264580;395;0.943;37.542;0.0386866425310276;pc5
64;roundrobin;ssa;.849910180;593;2.9;40.442;0.0658004472335592;pc1
65;roundrobin;ssa;1.077967558;253;0.259;40.701;0.034465109395276;pc2
66;roundrobin;ssa;1.853511087;325;1.638;42.339;0.0369276456170677;pc3
68;roundrobin;ssa;.843923527;518;0.488;43.509;0.0482841409439691;pc1
69;roundrobin;SMA;.865593951;232;0.502;44.011;0.0294444332989678;pc2
