0;rede;SMA;0:01.55 ;406;0.083;.083;0.0423559013427496
1;rede;ssa;0:02.13 ;560;0.13;.213;0.0650104625049824
2;rede;ssa;0:02.11 ;581;0.016;.229;0.0657184273159393
3;rede;ssa;0:02.08 ;301;0.015;.244;0.0360930160445306
5;rede;SMA;0:01.66 ;198;0.318;.610;0.0260920139484302
4;rede;ssa;0:02.17 ;551;0.048;.292;0.0639327156526897
6;rede;SMA;0:01.87 ;28;0.135;.745;0.0044156703260322
7;rede;SMA;0:01.88 ;21;0.059;.804;0.0044156703260322
8;rede;ssa;0:02.09 ;566;0.105;.909;0.0650104625049824
11;rede;SMA;0:01.76 ;42;0.084;1.162;0.00572928357269349
9;rede;ssa;0:02.33 ;570;0.016;.925;0.0650104625049824
12;rede;seadec;0:01.67 ;123;0.136;1.298;0.0194549251238626
13;rede;SMA;0:01.31 ;408;0.487;1.785;0.0423559013427496
10;rede;ssa;0:02.38 ;115;0.153;1.078;0.0189752485931269
14;rede;seadec;0:01.39 ;48;0.116;1.901;0.00853866866997741
15;rede;SMA;0:01.48 ;27;0.114;2.015;0.0044156703260322
16;rede;seadec;0:01.51 ;61;0.206;2.221;0.00929623085818988
17;rede;ssa;0:01.68 ;307;0.072;2.293;0.0360930160445306
19;rede;seadec;0:01.92 ;137;0.065;2.395;0.0196202016385114
20;rede;SMA;0:01.75 ;346;0.26;2.655;0.0427559244477954
21;rede;SMA;0:01.60 ;30;0.071;2.726;0.0044156703260322
22;rede;seadec;0:01.83 ;132;0.032;2.758;0.0194549251238626
23;rede;SMA;0:01.82 ;369;0.062;2.820;0.0400802183599336
25;rede;SMA;0:01.82 ;29;0.007;2.839;0.0044156703260322
24;rede;ssa;0:02.11 ;531;0.012;2.832;0.0656320663227048
26;rede;ssa;0:02.15 ;421;0.064;2.903;0.0450325086617828
27;rede;seadec;0:01.77 ;163;0.435;3.338;0.0200366493973128
18;rede;ssa;;244;0.037;2.330;0.034465109395276
31;rede;SMA;0:01.69 ;1;0.004;3.739;0.00312822529954525
32;rede;ssa;;107;0.036;3.775;0.0189752485931269
29;rede;ssa;0:02.75 ;109;0.11;3.577;0.0189752485931269
33;rede;seadec;0:02.75 ;141;0.145;3.920;0.0196202016385114
34;rede;SMA;0:02.05 ;408;0.022;3.942;0.0423559013427496
28;rede;ssa;0:03.13 ;472;0.129;3.467;0.0463158279553995
35;rede;ssa;0:02.41 ;332;0.112;4.054;0.0377148729094167
36;rede;ssa;0:02.46 ;300;0.033;4.087;0.0354027676498525
38;rede;SMA;0:02.05 ;235;0.083;4.250;0.0294444332989678
37;rede;ssa;0:02.59 ;321;0.08;4.167;0.0369276456170677
41;rede;SMA;0:01.62 ;362;0.113;4.508;0.0400802183599336
42;rede;ssa;0:01.86 ;563;0.142;4.650;0.0650104625049824
30;rede;ssa;0:04.67 ;488;0.158;3.735;0.0468428353029938
39;rede;ssa;0:02.48 ;496;0.026;4.276;0.0472776063296307
40;rede;ssa;0:02.48 ;583;0.119;4.395;0.0657184273159393
44;rede;seadec;0:01.94 ;67;0.061;4.849;0.00929623085818988
45;rede;SMA;0:01.91 ;211;0.033;4.882;0.0262853423085934
43;rede;ssa;0:01.91 ;294;0.138;4.788;0.0354027676498525
46;rede;ssa;0:02.01 ;497;0.142;5.024;0.0472776063296307
47;rede;seadec;0:02.12 ;74;0.109;5.133;0.00929623085818988
48;rede;ssa;0:02.05 ;533;0.057;5.190;0.0656320663227048
50;rede;ssa;0:02.06 ;263;0.046;5.457;0.0351769567303275
51;rede;SMA;0:01.71 ;17;0.24;5.697;0.0044156703260322
49;rede;SMA;0:02.31 ;42;0.221;5.411;0.00572928357269349
53;rede;seadec;0:01.49 ;46;0.061;6.112;0.00853866866997741
54;rede;SMA;0:01.67 ;185;0.065;6.177;0.027678078136308
52;rede;ssa;0:02.11 ;479;0.354;6.051;0.0463158279553995
55;rede;seadec;0:01.80 ;132;0.108;6.285;0.0194549251238626
56;rede;seadec;0:02.12 ;84;0.023;6.308;0.0240361194750053
57;rede;ssa;0:02.05 ;539;0.034;6.342;0.0656320663227048
58;rede;ssa;0:01.94 ;327;0.122;6.464;0.0369276456170677
59;rede;ssa;0:01.99 ;449;0.085;6.549;0.0464705153781347
60;rede;seadec;0:01.92 ;150;0.01;6.559;0.0196202016385114
61;rede;SMA;0:01.93 ;404;0.122;6.681;0.0386866425310276
64;rede;ssa;0:01.55 ;323;0.532;7.413;0.0369276456170677
63;rede;SMA;0:01.67 ;357;0.173;6.881;0.0427559244477954
65;rede;ssa;0:01.67 ;343;0.047;7.460;0.0377148729094167
62;rede;ssa;0:02.88 ;590;0.027;6.708;0.0658004472335592
66;rede;seadec;0:01.69 ;146;0.3;7.760;0.0196202016385114
67;rede;ssa;0:02.05 ;344;0.125;7.885;0.0377148729094167
68;rede;SMA;0:01.95 ;17;0.089;7.974;0.0044156703260322
69;rede;seadec;0:02.20 ;81;0.092;8.066;0.0240361194750053
71;rede;ssa;0:02.11 ;590;0.254;8.516;0.0658004472335592
73;rede;seadec;0:01.96 ;159;0.031;8.867;0.0200366493973128
74;rede;seadec;0:02.20 ;150;0.043;8.910;0.0196202016385114
75;rede;seadec;0:02.12 ;74;0.006;8.916;0.00929623085818988
72;rede;ssa;0:02.95 ;106;0.32;8.836;0.0189752485931269
76;rede;ssa;0:02.28 ;566;0.039;8.955;0.0650104625049824
70;rede;ssa;0:03.96 ;549;0.196;8.262;0.0639327156526897
78;rede;SMA;0:02.03 ;14;0.09;9.217;0.00312822529954525
77;rede;ssa;0:02.39 ;484;0.172;9.127;0.0468428353029938
79;rede;SMA;0:01.97 ;420;0.304;9.521;0.0423559013427496
80;rede;seadec;0:02.14 ;89;0.042;9.563;0.0240361194750053
81;rede;SMA;0:02.36 ;365;0.111;9.674;0.0400802183599336
83;rede;seadec;0:02.19 ;102;0.007;9.771;0.0200421445003984
82;rede;ssa;0:02.39 ;263;0.09;9.764;0.0351769567303275
84;rede;ssa;0:02.19 ;548;0.251;10.022;0.0639327156526897
85;rede;ssa;0:02.11 ;586;0.088;10.110;0.0658004472335592
86;rede;ssa;0:02.12 ;281;0.174;10.284;0.0351994025147571
87;rede;SMA;0:02.11 ;379;0.136;10.420;0.0385801680617862
89;rede;seadec;;88;0.231;10.799;0.0240361194750053
90;rede;seadec;0:01.74 ;157;0.114;10.913;0.0200366493973128
91;rede;ssa;0:01.89 ;585;0.049;10.962;0.0657184273159393
88;rede;ssa;0:03.02 ;247;0.148;10.568;0.034465109395276
92;rede;SMA;0:01.81 ;402;0.115;11.077;0.0386866425310276
94;rede;SMA;0:01.80 ;373;0.075;11.181;0.0400802183599336
96;rede;SMA;0:01.76 ;215;0.049;11.259;0.0262853423085934
93;rede;ssa;0:02.32 ;472;0.029;11.106;0.0463158279553995
95;rede;ssa;0:02.16 ;335;0.029;11.210;0.0377148729094167
99;rede;SMA;0:01.37 ;420;0.038;11.335;0.0423559013427496
102;rede;seadec;0:01.37 ;127;0.049;11.650;0.0194549251238626
97;rede;ssa;0:02.92 ;436;0.023;11.282;0.0464705153781347
103;rede;ssa;0:01.98 ;440;0.042;11.692;0.0464705153781347
