0;rede;SMA;0:01.43 ;406;0.453;.453;0.0423559013427496
1;rede;ssa;0:01.34 ;560;0.709;1.162;0.0650104625049824
3;rede;ssa;0:01.58 ;301;0.084;1.333;0.0360930160445306
4;rede;ssa;0:01.40 ;551;0.262;1.595;0.0639327156526897
2;rede;ssa;0:02.19 ;581;0.087;1.249;0.0657184273159393
5;rede;SMA;0:01.35 ;198;1.737;3.332;0.0260920139484302
6;rede;SMA;0:01.19 ;28;0.738;4.070;0.0044156703260322
7;rede;SMA;0:01.17 ;21;0.324;4.394;0.0044156703260322
8;rede;ssa;0:01.68 ;566;0.574;4.968;0.0650104625049824
9;rede;ssa;0:01.70 ;570;0.088;5.056;0.0650104625049824
11;rede;SMA;0:01.15 ;42;0.457;6.347;0.00572928357269349
10;rede;ssa;0:02.29 ;115;0.834;5.890;0.0189752485931269
12;rede;seadec;0:01.29 ;123;0.743;7.090;0.0194549251238626
13;rede;SMA;0:01.35 ;408;2.654;9.744;0.0423559013427496
14;rede;seadec;0:01.30 ;48;0.633;10.377;0.00853866866997741
15;rede;SMA;0:01.17 ;27;0.621;10.998;0.0044156703260322
16;rede;seadec;0:01.50 ;61;1.126;12.124;0.00929623085818988
17;rede;ssa;0:01.74 ;307;0.393;12.517;0.0360930160445306
18;rede;ssa;0:01.51 ;244;0.202;12.719;0.034465109395276
19;rede;seadec;0:01.38 ;137;0.353;13.072;0.0196202016385114
20;rede;SMA;0:01.45 ;346;1.419;14.491;0.0427559244477954
21;rede;SMA;0:01.46 ;30;0.385;14.876;0.0044156703260322
22;rede;seadec;0:01.45 ;132;0.176;15.052;0.0194549251238626
23;rede;SMA;0:01.38 ;369;0.34;15.392;0.0400802183599336
25;rede;SMA;0:01.92 ;29;0.036;15.492;0.0044156703260322
24;rede;ssa;0:01.92 ;531;0.064;15.456;0.0656320663227048
26;rede;ssa;0:01.80 ;421;0.347;15.839;0.0450325086617828
27;rede;seadec;0:01.23 ;163;2.375;18.214;0.0200366493973128
28;rede;ssa;0:01.69 ;472;0.704;18.918;0.0463158279553995
29;rede;ssa;0:01.26 ;109;0.598;19.516;0.0189752485931269
31;rede;SMA;0:01.49 ;1;0.022;20.399;0.00312822529954525
32;rede;ssa;0:01.55 ;107;0.194;20.593;0.0189752485931269
30;rede;ssa;0:01.95 ;488;0.861;20.377;0.0468428353029938
33;rede;seadec;0:01.26 ;141;0.792;21.385;0.0196202016385114
34;rede;SMA;0:01.22 ;408;0.122;21.507;0.0423559013427496
35;rede;ssa;0:01.75 ;332;0.614;22.121;0.0377148729094167
36;rede;ssa;0:01.66 ;300;0.181;22.302;0.0354027676498525
37;rede;ssa;0:01.47 ;321;0.435;22.737;0.0369276456170677
39;rede;ssa;0:01.58 ;496;0.141;23.329;0.0472776063296307
38;rede;SMA;0:01.79 ;235;0.451;23.188;0.0294444332989678
40;rede;ssa;0:01.53 ;583;0.648;23.977;0.0657184273159393
41;rede;SMA;0:01.32 ;362;0.617;24.594;0.0400802183599336
42;rede;ssa;0:01.36 ;563;0.775;25.369;0.0650104625049824
43;rede;ssa;0:01.54 ;294;0.752;26.121;0.0354027676498525
45;rede;SMA;0:01.10 ;211;0.181;26.635;0.0262853423085934
46;rede;ssa;0:01.65 ;497;0.776;27.411;0.0472776063296307
